"L","chi","X","X_rel","E_i","E_l","E_e","H_l","index"
0.79,42499.8643575004,5783860.71782044,1.09902027661689,0,24.1123181071404,204.954049779674,1153.7267144069,80
0.8,43128.0592259195,5783815.17320136,1.09901354514244,0,24.4107990078514,210.558077072526,1182.78058662828,81
0.81,43755.8022279125,5783768.60090612,1.09900666177732,0,24.7152811632502,216.287390917285,1212.48950233229,82
0.82,44383.108370367,5783720.98581848,1.09899962428627,0,25.0257387114447,222.144014655707,1242.86303324905,83
0.83,45009.9668841064,5783672.29684162,1.09899242807683,0,25.3423530819662,228.131694596927,1273.92110200904,84
0.84,45636.4896359819,5783622.58174664,1.09898508020564,0,25.6643027393771,234.245737196057,1305.63306795436,85
0.85,46262.5913303152,5783571.76237455,1.09897756912218,0,25.9923693796375,240.494872463354,1338.04879419502,86
0.86,46888.3227419952,5783519.84825961,1.09896989623549,0,26.3262229214086,246.878487383344,1371.16215485552,87
0.87,47260.1743993863,5783285.42836282,1.09893524905495,0,28.8629303237847,272.813424155881,1520.67833661965,88
0.88,48138.6974483075,5783412.65781061,1.09895405352542,0,27.0114362775426,260.059071721772,1439.53135833436,89
0.89,48763.375213153,5783357.35901362,1.09894588038191,0,27.3626690082515,266.859219136536,1474.80143826272,90
0.9,49387.717898774,5783300.89698093,1.09893753531181,0,27.7197193347995,273.802735748054,1510.81266109977,91
0.91,50011.6806464542,5783243.21441292,1.09892900984622,0,28.083059185891,280.89619751605,1547.60152239035,92
0.92,50635.3640559373,5783184.36277945,1.09892031159231,0,28.4518941419902,288.134403592133,1585.13514455757,93
0.93,51258.871053439,5783124.40106385,1.09891144926775,0,28.825378809725,295.511275094846,1623.37586028632,94
0.94,51881.9709096111,5783063.12752795,1.09890239305565,0,29.2056265599495,303.049093516053,1662.45227468273,95
0.95,52504.8341967823,5783000.65294302,1.09889315932792,0,29.5911953252765,310.736160847649,1702.2936877524,96
0.96,52760.7788020941,5782620.3149433,1.09883694544869,0,33.4579687589756,353.053697771937,1944.82276822539,97
0.97,53749.6186558046,5782871.82094573,1.09887411798865,0,30.3806769025366,326.58995960331,1784.44963364132,98
0.98,54371.6596348126,5782805.51735721,1.09886431833215,0,30.7836370401728,334.751487093977,1826.72972124621,99
0.99,54993.4838470261,5782737.9422828,1.09885433074924,0,31.1919950197313,343.071294854822,1869.8194850945,100
1,55614.9907810753,5782668.98483133,1.09884413885017,0,31.6067577307337,351.561907962887,1913.78956927909,101
